res_id,name,address,mobile_url,cuisines,review_count,rating,latitude,longitude,health_index
bacaro-champaign,Bacaro,"113 N Walnut St,Champaign, IL 61820",http://m.yelp.com/biz/bacaro-champaign,"American (New),newamerican,Italian,italian,Lounges,lounges",100,4,40.116894,-88.2426299,0.8823
merry-anns-diner-urbana-2,Merry Ann's Diner,"1103 W Oregon St,Urbana, IL 61801",http://m.yelp.com/biz/merry-anns-diner-urbana-2,"Diners,diners",23,4,40.1068632,-88.2218637,0.877
merry-anns-diner-champaign,Merry-Ann's Diner,"1510 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/merry-anns-diner-champaign,"Diners,diners,Breakfast & Brunch,breakfast_brunch",44,3,40.0984473,-88.2442422,0.877
merry-anns-diner-champaign-2,Merry-Ann's Diner,"1 E Main St,Champaign, IL 61820",http://m.yelp.com/biz/merry-anns-diner-champaign-2,"Diners,diners",31,3,40.118413,-88.2430914,0.877
peking-garden-restaurant-champaign,Peking Garden Restaurant,"206 N Randolph St,Champaign, IL 61820",http://m.yelp.com/biz/peking-garden-restaurant-champaign,"Chinese,chinese",32,4,40.1178493,-88.2450179,0.8769
auntie-lees-chinese-kitchen-champaign,Auntie Lee's Chinese Kitchen,"49 E Green St,Ste B,Champaign, IL 61820",http://m.yelp.com/biz/auntie-lees-chinese-kitchen-champaign,"Chinese,chinese",5,2.5,40.1101985,-88.2402729,0.8614
destihl-restaurant-and-brew-works-champaign,Destihl Restaurant & Brew Works,"301 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/destihl-restaurant-and-brew-works-champaign,"American (New),newamerican,Gluten-Free,gluten_free,Breakfast & Brunch,breakfast_brunch",204,3.5,40.1190386,-88.2438816,0.8604
atlanta-bread-company-champaign,Atlanta Bread Company,"1905 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/atlanta-bread-company-champaign,"Sandwiches,sandwiches,Bakeries,bakeries",27,3,40.0929349,-88.2460289,0.8524
the-red-herring-vegetarian-restaurant-urbana-2,The Red Herring Vegetarian Restaurant,"1209 W Oregon St,basement,Urbana, IL 61801",http://m.yelp.com/biz/the-red-herring-vegetarian-restaurant-urbana-2,"Vegetarian,vegetarian,Cafes,cafes,Vegan,vegan",37,4,40.106704,-88.225188,0.8518
golden-wok-champaign,Golden Wok,"405 E University Ave,Champaign, IL 61820",http://m.yelp.com/biz/golden-wok-champaign,"Thai,thai,Chinese,chinese",54,4,40.1160138,-88.2328416,0.8403
siam-terrace-urbana,Siam Terrace,"212 W Main St,Urbana, IL 61801",http://m.yelp.com/biz/siam-terrace-urbana,"Thai,thai",100,4,40.1126201,-88.2093474,0.8375
el-toro-champaign-2,El Toro,"723 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/el-toro-champaign-2,"Mexican,mexican",50,3.5,40.107102,-88.243891,0.8362
el-toro-saint-joseph,El Toro,"221 E Lincoln,Saint Joseph, IL 61873",http://m.yelp.com/biz/el-toro-saint-joseph,"Mexican,mexican",7,3.5,40.1111426,-88.0415102,0.8362
el-toro-saint-joseph,El Toro,"221 E Lincoln,Saint Joseph, IL 61873",http://m.yelp.com/biz/el-toro-saint-joseph,"Mexican,mexican",7,3.5,40.1111426,-88.0415102,0.8362
el-toro-bravo-champaign,El Toro Bravo,"2561 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/el-toro-bravo-champaign,"Mexican,mexican",16,3,40.1129287,-88.2886035,0.8362
geovantis-champaign,Geovanti's,"401 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/geovantis-champaign,"Italian,italian,Dive Bars,divebars",31,3.5,40.1100246,-88.2332899,0.8333
silvercreek-urbana,Silvercreek,"402 N Race St,Urbana, IL 61801",http://m.yelp.com/biz/silvercreek-urbana,"American (New),newamerican,Breakfast & Brunch,breakfast_brunch,Bakeries,bakeries",66,3.5,40.1154547,-88.2087855,0.8309
shanghai-1938-champaign,Shanghai 1938,"2504 Village Green Pl,Champaign, IL 61822",http://m.yelp.com/biz/shanghai-1938-champaign,"Chinese,chinese",18,3,40.0818606,-88.2963455,0.8229
dominos-pizza-champaign-3,Domino's Pizza,"102 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/dominos-pizza-champaign-3,"Pizza,pizza,Chicken Wings,chicken_wings,Sandwiches,sandwiches",3,1,40.1104567,-88.238418,0.8181
dominos-pizza-urbana,Domino's Pizza,"1108 N Cunningham Ave,Urbana, IL 61802",http://m.yelp.com/biz/dominos-pizza-urbana,"Pizza,pizza,Chicken Wings,chicken_wings,Sandwiches,sandwiches",4,2.5,40.1242205,-88.2004115,0.8181
the-ribeye-champaign,The Ribeye,"1701 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/the-ribeye-champaign,"Steakhouses,steak",30,3.5,40.096106,-88.2454553,0.816
urbana-garden-family-restaurant-urbana,Urbana Garden Family Restaurant,"810 W Killarney St,Urbana, IL 61801",http://m.yelp.com/biz/urbana-garden-family-restaurant-urbana,"Restaurants,restaurants",21,3,40.1329741,-88.2188301,0.816
alexanders-steakhouse-champaign,Alexander's Steakhouse,"202 W Anthony Dr,Champaign, IL 61822",http://m.yelp.com/biz/alexanders-steakhouse-champaign,"Steakhouses,steak",28,3,40.1368,-88.24507,0.8157
burrito-king-urbana,Burrito King,"902 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/burrito-king-urbana,"Mexican,mexican,Street Vendors,streetvendors",2,3.5,40.116597,-88.220285,0.8095
aroma-curry-house-champaign,Aroma Curry House,"2502 Village Green Pl,Champaign, IL 61822",http://m.yelp.com/biz/aroma-curry-house-champaign,"Indian,indpak",27,3.5,40.081896,-88.295835,0.7972
jersey-mikes-subs-champaign,Jersey Mike's Subs,"505 E. Green Street,Ste 3,Champaign, IL 61820",http://m.yelp.com/biz/jersey-mikes-subs-champaign,"Sandwiches,sandwiches,Fast Food,hotdogs,Delis,delis",11,3.5,40.1099251,-88.2314617,0.7857
escobars-champaign,Escobar's,"6 E Columbia Ave,Champaign, IL 61820",http://m.yelp.com/biz/escobars-champaign,"American (New),newamerican,Latin American,latin,Mexican,mexican",106,4,40.12125,-88.242802,0.7826
xinh-xinh-cafe-urbana-2,Xinh Xinh Cafe,"114 N Vine St,Urbana, IL 61802",http://m.yelp.com/biz/xinh-xinh-cafe-urbana-2,"Vietnamese,vietnamese",121,4,40.1134471,-88.2030657,0.7809
big-j-j-fish-and-chicken-champaign,Big J J Fish & Chicken,"1114 N Market St,Champaign, IL 61820",http://m.yelp.com/biz/big-j-j-fish-and-chicken-champaign,"Chicken Wings,chicken_wings,Fish & Chips,fishnchips,Fast Food,hotdogs",8,4,40.126987,-88.238622,0.7745
radio-maria-champaign,Radio Maria,"119 N Walnut St,Champaign, IL 61820",http://m.yelp.com/biz/radio-maria-champaign,"Spanish,spanish,Breakfast & Brunch,breakfast_brunch,Cajun/Creole,cajun",162,3.5,40.1171251,-88.2426687,0.7702
boomerangs-bar-and-grill-urbana,Boomerang's Bar & Grill,"1309 E Washington St,Urbana, IL 61802",http://m.yelp.com/biz/boomerangs-bar-and-grill-urbana,"American (Traditional),tradamerican,Bars,bars",7,4,40.104934,-88.192572,0.7419
lil-porgys-bar-b-que-champaign,Li'l Porgy's Bar-B-Que,"1917 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/lil-porgys-bar-b-que-champaign,"Barbeque,bbq",53,3.5,40.112415,-88.279999,0.7417
lil-porgys-bar-b-que-urbana,Lil Porgy's Bar-B-Que,"101 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/lil-porgys-bar-b-que-urbana,"Barbeque,bbq",61,3.5,40.1161809,-88.2079369,0.7417
sushi-kame-champaign,Sushi Kame,"132 W. Church St,Champaign, IL 61820",http://m.yelp.com/biz/sushi-kame-champaign,"Sushi Bars,sushi,Japanese,japanese",83,4,40.118535,-88.24481,0.7289
courier-cafe-urbana,Courier Cafe,"111 N Race St,Urbana, IL 61801",http://m.yelp.com/biz/courier-cafe-urbana,"American (Traditional),tradamerican",180,4,40.1129418,-88.2093789,0.7287
bombay-indian-grill-champaign,Bombay Indian Grill,"401 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/bombay-indian-grill-champaign,"Indian,indpak",59,4,40.1100246,-88.2332899,0.7207
jupiters-at-the-crossing-champaign,Jupiter's At The Crossing,"2511 Village Green Pl,Champaign, IL 61822",http://m.yelp.com/biz/jupiters-at-the-crossing-champaign,"Pizza,pizza,Arcades,arcades,Pool Halls,poolhalls",33,3,40.0815042,-88.2963437,0.6857
great-steak-and-potato-co-the-champaign,Great Steak and Potato Co the,"2000 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/great-steak-and-potato-co-the-champaign,"Restaurants,restaurants",1,3,40.1427776,-88.243865,0.6842
great-steak-and-potato-co-the-champaign,Great Steak and Potato Co the,"2000 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/great-steak-and-potato-co-the-champaign,"Restaurants,restaurants",1,3,40.1427776,-88.243865,0.6842
rainbow-garden-champaign,Rainbow Garden,"1402 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/rainbow-garden-champaign,"Chinese,chinese",42,3.5,40.1004504,-88.2439462,0.6605
rainbow-garden-urbana,Rainbow Garden,"202 E University,Urbana, IL 61801",http://m.yelp.com/biz/rainbow-garden-urbana,"Chinese,chinese",17,3.5,40.1167919,-88.205811,0.6605
sun-singer-wine-and-spirits-ltd-champaign,Sun Singer Wine and Spirits Ltd.,"1115 W Windsor Rd,Champaign, IL 61821",http://m.yelp.com/biz/sun-singer-wine-and-spirits-ltd-champaign,"Beer, Wine & Spirits,beer_and_wine,Cheese Shops,cheese,Sandwiches,sandwiches,Delis,delis",54,4,40.083205,-88.264459,0.6507
papa-dels-pizza-champaign,Papa Del's Pizza,"206 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/papa-dels-pizza-champaign,"Pizza,pizza",203,4,40.1103909,-88.2361709,0.65
papa-dels-pizza-at-the-crossing-champaign-2,Papa Del's Pizza At the Crossing,"2510 Village Green Pl,Champaign, IL 61820",http://m.yelp.com/biz/papa-dels-pizza-at-the-crossing-champaign-2,"Pizza,pizza",17,4,40.0817601,-88.2959863,0.65
best-wok-champaign,Best Wok,"907 W Marketview Dr,Ste 8,Champaign, IL 61822",http://m.yelp.com/biz/best-wok-champaign,"Chinese,chinese",8,4,40.1378171,-88.260388,0.6493
301-mongolia-champaign,301 Mongolia,"301 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/301-mongolia-champaign,"Mongolian,mongolian",29,3.5,40.1190386,-88.2438816,0.6153
original-pancake-house-champaign,Original Pancake House,"1909 W Springfield Ave,Ste B,Champaign, IL 61821",http://m.yelp.com/biz/original-pancake-house-champaign,"Breakfast & Brunch,breakfast_brunch",71,4,40.1128502,-88.278357,0.6144
aroma-cafe-champaign,Aroma Cafe,"118 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/aroma-cafe-champaign,"Coffee & Tea,coffee,Cafes,cafes",63,4,40.1170558,-88.2432469,0.5909
big-grove-tavern-champaign,Big Grove Tavern,"1 E Main St,Champaign, IL 61820",http://m.yelp.com/biz/big-grove-tavern-champaign,"American (New),newamerican,Pubs,pubs,Breakfast & Brunch,breakfast_brunch",129,3.5,40.118413,-88.2430914,0.5862
zas-italian-cafe-champaign-2,Za's Italian Cafe,"2006 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/zas-italian-cafe-champaign-2,"American (Traditional),tradamerican",33,3.5,40.11321,-88.282004,0.5542
zas-italian-cafe-champaign-3,Za's Italian Cafe,"1905 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/zas-italian-cafe-champaign-3,"Italian,italian",21,3.5,40.1399131,-88.2454105,0.5542
zas-on-springfield-inc-champaign,Za's On Springfield Inc,"2006 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/zas-on-springfield-inc-champaign,"American (New),newamerican",1,4,40.11321,-88.282004,0.5542
ruby-tuesday-champaign,Ruby Tuesday,"2301 N Prospect,Champaign, IL 61822",http://m.yelp.com/biz/ruby-tuesday-champaign,"Sandwiches,sandwiches,Burgers,burgers",20,3,40.1438051,-88.258373,0.5438
los-amigos-champaign,Los Amigos,"404 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/los-amigos-champaign,"Mexican,mexican",8,4,40.1104696,-88.2331177,0.5416
lets-take-a-seat-thai-cuisine-champaign-2,Let's Take a Seat: Thai Cuisine,"2506 Village Green Pl,Champaign, IL 61822",http://m.yelp.com/biz/lets-take-a-seat-thai-cuisine-champaign-2,"Thai,thai",18,3.5,40.0818267,-88.2963454,0.5208
the-bread-company-urbana,The Bread Company,"706 S Goodwin Ave,Urbana, IL 61801",http://m.yelp.com/biz/the-bread-company-urbana,"Bakeries,bakeries,American (New),newamerican,Sandwiches,sandwiches",70,3.5,40.106757,-88.223626,0.513
woori-jib-restaurant-champaign-2,Woori Jib Restaurant,"710 S 6th St,Champaign, IL 61822",http://m.yelp.com/biz/woori-jib-restaurant-champaign-2,"Korean,korean",54,3.5,40.10959,-88.230064,0.5116
nitaya-thai-champaign,Nitaya Thai,"134 W Church St,Champaign, IL 61820",http://m.yelp.com/biz/nitaya-thai-champaign,"Thai,thai",37,3,40.118535,-88.244967,0.4888
bunnys-tavern-urbana,Bunny's Tavern,"119 W Water St,Urbana, IL 61801",http://m.yelp.com/biz/bunnys-tavern-urbana,"Dive Bars,divebars,American (Traditional),tradamerican",22,4,40.1132,-88.208287,0.4666
amanos-pizza-champaign,Amano's Pizza,"1407 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/amanos-pizza-champaign,"Pizza,pizza",7,4.5,40.0995964,-88.244377,0.4
niros-gyros-champaign,Niro's Gyros,"2001 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/niros-gyros-champaign,"Greek,greek",18,4.5,40.112419,-88.280411,0.3913
niros-gyros-champaign-2,Niro's Gyros,"905 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/niros-gyros-champaign-2,"Fast Food,hotdogs",2,3,40.105187,-88.243851,0.3913
niros-gyros-urbana,Niro's Gyros,"1007 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/niros-gyros-urbana,"Greek,greek",25,4,40.116102,-88.2216645,0.3913
garcias-pizza-in-a-pan-champaign-2,Garcia's Pizza In A Pan,"313 N Mattis Ave,Champaign, IL 61821",http://m.yelp.com/biz/garcias-pizza-in-a-pan-champaign-2,"Pizza,pizza",18,3,40.119051,-88.277525,0.3823
monicals-pizza-champaign,Monical's Pizza,"103 W Kirby Ave,Champaign, IL 61820",http://m.yelp.com/biz/monicals-pizza-champaign,"Pizza,pizza,Italian,italian",16,3.5,40.097774,-88.24573,0.3784
monicals-pizza-champaign-2,Monical's Pizza,"205 N Mattis Ave,Champaign, IL 61821",http://m.yelp.com/biz/monicals-pizza-champaign-2,"Pizza,pizza,Italian,italian",13,3,40.118026,-88.277573,0.3784
monicals-pizza-mahomet,Monical's Pizza,"114 S Lombard St,Mahomet, IL 61853",http://m.yelp.com/biz/monicals-pizza-mahomet,"Pizza,pizza,Italian,italian",5,4,40.192108,-88.400262,0.3784
monicals-pizza-mahomet,Monical's Pizza,"114 S Lombard St,Mahomet, IL 61853",http://m.yelp.com/biz/monicals-pizza-mahomet,"Pizza,pizza,Italian,italian",5,4,40.192108,-88.400262,0.3784
monicals-pizza-tolono,Monical's Pizza,"102 W Vine,Tolono, IL 61880",http://m.yelp.com/biz/monicals-pizza-tolono,"Pizza,pizza,Italian,italian",2,2.5,39.9890582,-88.2624323,0.3784
monicals-pizza-urbana-3,Monical's Pizza,"2720 S Philo Rd,Urbana, IL 61802",http://m.yelp.com/biz/monicals-pizza-urbana-3,"Pizza,pizza",23,3,40.0830409,-88.1905066,0.3784
milos-restaurant-urbana-2,Milo's Restaurant,"2870 S Philo Rd,Urbana, IL 61802",http://m.yelp.com/biz/milos-restaurant-urbana-2,"American (New),newamerican",53,3.5,40.0807733,-88.1904382,0.3714
kamakura-japanese-restaurant-champaign,Kamakura Japanese Restaurant,"715 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/kamakura-japanese-restaurant-champaign,"Japanese,japanese",49,3,40.107694,-88.244257,0.3333
steak-n-shake-champaign,Steak 'n Shake,"1709 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/steak-n-shake-champaign,"Fast Food,hotdogs,Burgers,burgers",22,3,40.094991,-88.2457249,0.3195
steak-n-shake-champaign-2,Steak 'n Shake,"2010 North Prospect Avenue,Champaign, IL 61822",http://m.yelp.com/biz/steak-n-shake-champaign-2,"Fast Food,hotdogs,Burgers,burgers",12,2.5,40.140462,-88.257297,0.3195
steak-n-shake-urbana-3,Steak 'n Shake,"2009 N Kenyon Rd,Urbana, IL 61802",http://m.yelp.com/biz/steak-n-shake-urbana-3,"Burgers,burgers,Fast Food,hotdogs,Ice Cream & Frozen Yogurt,icecream",1,2,40.133231,-88.198592,0.3195
flat-top-grill-champaign-2,Flat Top Grill,"607 S 6th St,Champaign, IL 61820",http://m.yelp.com/biz/flat-top-grill-champaign-2,"Asian Fusion,asianfusion",70,3,40.1114257,-88.2304288,0.3181
pekara-bakery-and-bistro-champaign,Pekara Bakery and Bistro,"116 N Neil St,Champaign, IL 61821",http://m.yelp.com/biz/pekara-bakery-and-bistro-champaign,"Creperies,creperies,Sandwiches,sandwiches,Gelato,gelato",83,3.5,40.1170088,-88.2432482,0.2666
sammies-pancake-house-champaign-2,Sammie's Pancake House,"1206 N Mattis Ave,Champaign, IL 61821",http://m.yelp.com/biz/sammies-pancake-house-champaign-2,"Breakfast & Brunch,breakfast_brunch",19,3.5,40.128394,-88.276557,0.2634
auntie-annes-champaign,Auntie Anne's,"2000 N Neil St,Ste 260,Champaign, IL 61820",http://m.yelp.com/biz/auntie-annes-champaign,"Fast Food,hotdogs",1,4,40.1427776,-88.243865,0.2222
hardees-champaign,Hardee's,"1703 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/hardees-champaign,"Burgers,burgers",9,2.5,40.0956999,-88.2454984,0.1932
perkins-family-restaurant-urbana,Perkins Family Restaurant,"1214 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/perkins-family-restaurant-urbana,"Breakfast & Brunch,breakfast_brunch",24,2.5,40.1166446,-88.2254822,0.1428
houlihans-champaign,Houlihan's,"1900 S 1st St,Champaign, IL 61820",http://m.yelp.com/biz/houlihans-champaign,"American (New),newamerican,Bars,bars",45,3,40.0935532,-88.2376606,0.1304
ming-garden-champaign,Ming Garden,"1804 Sangamon Dr,Champaign, IL 61821",http://m.yelp.com/biz/ming-garden-champaign,"Chinese,chinese",7,3.5,40.1025769,-88.277256,0.129
hickory-river-smokehouse-urbana,Hickory River Smokehouse,"1706 N Cunningham Ave,Urbana, IL 61802",http://m.yelp.com/biz/hickory-river-smokehouse-urbana,"Barbeque,bbq,American (Traditional),tradamerican",44,4,40.128807,-88.197784,0.0882
ryans-champaign,Ryan's,"1004 W Anthony Dr,Champaign, IL 61821",http://m.yelp.com/biz/ryans-champaign,"Buffets,buffets,American (New),newamerican,Breakfast & Brunch,breakfast_brunch",11,2,40.1362437,-88.2619934,0.0796
chinese-express-champaign,Chinese Express,"39 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/chinese-express-champaign,"Chinese,chinese",2,1,40.109988,-88.240506,0.0647
lai-lai-wok-champaign,Lai Lai Wok,"402 E Green St,Ste A,Champaign, IL 61820",http://m.yelp.com/biz/lai-lai-wok-champaign,"Chinese,chinese",73,4,40.1105143,-88.2333136,0.0552
cheese-and-crackers-champaign,Cheese and Crackers,"1715 W Kirby,Champaign, IL 61821",http://m.yelp.com/biz/cheese-and-crackers-champaign,"Chocolatiers & Shops,chocolate,Delis,delis,Seafood Markets,seafoodmarkets",31,4,40.0982258,-88.27398,0.0312
cravings-champaign-2,Cravings,"603 S Wright St,Champaign, IL 61820",http://m.yelp.com/biz/cravings-champaign-2,"Chinese,chinese,Asian Fusion,asianfusion,Malaysian,malaysian",87,4,40.1112666,-88.2289022,0.0258
super-wok-champaign,Super Wok,"1737 W Kirby Ave,Champaign, IL 61821",http://m.yelp.com/biz/super-wok-champaign,"American (New),newamerican",3,3.5,40.0982297,-88.274226,0.0186
number-one-wok-champaign,Number One Wok,"12 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/number-one-wok-champaign,"Chinese,chinese",12,3,40.1101982,-88.2430455,0.0105
evo-cafe-champaign,Evo Cafe,"711 S 6th St,Champaign, IL 61820",http://m.yelp.com/biz/evo-cafe-champaign,"Szechuan,szechuan",32,3,40.1094391,-88.2306035,0.0031
chilis-grill-and-bar-champaign,Chili's Grill & Bar,"1905 N Prospect Ave,Champaign, IL 61822",http://m.yelp.com/biz/chilis-grill-and-bar-champaign,"Bars,bars,Tex-Mex,tex-mex,American (New),newamerican",18,2.5,40.139042,-88.258619,0
famous-daves-champaign,Famous Dave's,"1900 Round Barn Rd,Champaign, IL 61821",http://m.yelp.com/biz/famous-daves-champaign,"Barbeque,bbq",2,3,40.1118938,-88.2780325,0
hometown-buffet-champaign,HomeTown Buffet,"2306 N Prospect Ave,Champaign, IL 61822",http://m.yelp.com/biz/hometown-buffet-champaign,"American (New),newamerican,Breakfast & Brunch,breakfast_brunch,Buffets,buffets",10,2.5,40.1442056,-88.2570127,0
kfc-savoy,KFC,"1321 N Dunlap Ave,Savoy, IL 61874",http://m.yelp.com/biz/kfc-savoy,"Chicken Wings,chicken_wings,Fast Food,hotdogs",6,1.5,40.0706957,-88.2494882,0
kfc-urbana,Kfc,"410 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/kfc-urbana,"Fast Food,hotdogs",1,3,40.116759,-88.2122629,0
noodles-and-company-champaign,Noodles and Company,"528 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/noodles-and-company-champaign,"Asian Fusion,asianfusion",26,3,40.11052,-88.230628,0
panera-bread-champaign-2,Panera Bread,"1765 West Kirby Avenue,Champaign, IL 61821",http://m.yelp.com/biz/panera-bread-champaign-2,"Sandwiches,sandwiches,Salad,salad,Soup,soup",11,3,40.0982334,-88.2750206,0
panera-bread-champaign-3,Panera Bread,"616 E Green Street,Champaign, IL 61820",http://m.yelp.com/biz/panera-bread-champaign-3,"Sandwiches,sandwiches,Salad,salad,Soup,soup",10,3,40.110556,-88.2295463,0
